Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,FairProjection,,0.5,0.4880636604774536,0.26659285754840173,True,completed_without_exception,convergence_not_observable,,2.948960231995443,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,FairProjection,,0.75,0.4880636604774536,0.26659285754840173,True,completed_without_exception,convergence_not_observable,,2.966298276995076,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Fair-transport,,0.0,0.4482758620689655,0.12425481178674841,True,completed_without_exception,optimal,,0.05952923899167217,optimal,,,,,,4.071446707554216e-09,0.564905178020742,CLARABEL,OSQP
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Fair-transport,,0.1,0.4854111405835544,0.2370692102424346,True,completed_without_exception,optimal,,0.05062276401440613,optimal,,,,,,0.10000000030472339,0.5507680171661044,CLARABEL,OSQP
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Fair-transport,,0.2,0.4827586206896552,0.28175211491511953,True,completed_without_exception,optimal,,0.05643366700678598,optimal,,,,,,0.1777777979156326,0.5491324373505294,CLARABEL,OSQP
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Fair-transport,,0.3,0.47745358090185674,0.24232101288820757,True,completed_without_exception,optimal,,0.05638528600684367,optimal,,,,,,0.17777778348264509,0.5491324349435555,CLARABEL,OSQP
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Fair-transport,,0.4,0.47745358090185674,0.24232101288820757,True,completed_without_exception,optimal,,0.1915285980066983,optimal,,,,,,0.1777777834170839,0.5491324349474163,CLARABEL,OSQP
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Unfair,,,0.44562334217506633,0.29097825469823424,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Our Eps-Fair,0.0,,0.44297082228116713,0.09407823766536083,True,0,Optimization terminated successfully,17.0,0.018470786992111243,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Our Eps-Fair,0.1,,0.4509283819628647,0.1732527110656901,True,0,Optimization terminated successfully,16.0,0.017512307997094467,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Our Eps-Fair,0.2,,0.4482758620689655,0.27343439504911143,True,0,Optimization terminated successfully,10.0,0.010824475000845268,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Our Eps-Fair,0.3,,0.44562334217506633,0.29097825469823424,True,0,Optimization terminated successfully,1.0,0.0013363280013436452,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,GBM,"{'reg_lambda': 1, 'reg_alpha': 20, 'num_leaves': np.int64(36), 'n_estimators': np.int64(139), 'min_child_samples': np.int64(71), 'max_depth': np.int64(8)}",paper,Our Eps-Fair,0.4,,0.44562334217506633,0.29097825469823424,True,0,Optimization terminated successfully,1.0,0.0013394849956966937,completed_without_exception,,,,,,,,,
